client_id,שם,גיל,מגדר,עיר,סוג_שירות,תאריך_הצטרפות,סכום_תיק,הכנסה_חודשית,מספר_פניות_שנה_אחרונה,זמן_תגובה_ממוצע_שעות,שביעות_רצון,סטטוס,תאריך_נטישה
C1042,תומר גולדשטיין,48,זכר,חיפה,ביטוח חיים,10/03/2025,1431881,757,9,56.1,7,פעיל,
C1043,אבי רוזן,69,זכר,הוד השרון,פנסיה,25/12/2019,523937,2423,3,76.8,4,לא פעיל,06/03/2020
C1044,מורן אלון,29,נקבה,הרצליה,ייעוץ מס,27/07/2019,371798,1419,11,61.7,7,פעיל,
C1045,גל רביב,52,נקבה,הוד השרון,חיסכון ארוך טווח,27/04/2021,547543,425,14,24.9,6,פעיל,
C1046,יעל כהן,56,נקבה,הוד השרון,ייעוץ מס,07/08/2020,166106,2694,10,28.3,5,פעיל,
C1047,אבי שפירא,71,זכר,נתניה,ביטוח רכב,23/04/2023,1198275,3080,15,44.1,5,לא פעיל,19/03/2024
C1048,ניר שפירא,44,זכר,כפר סבא,ייעוץ מס,17/09/2022,718224,1754,10,35.1,6,פעיל,
C1049,ניר מור,72,זכר,הרצליה,ביטוח בריאות,24/04/2020,804002,1949,9,94.2,4,פעיל,
C1050,דנה אלון,36,נקבה,ראשון לציון,ייעוץ השקעות,05/09/2024,46754,710,1,54,6,פעיל,
C1051,נועה כהן,61,נקבה,ראשון לציון,ביטוח רכב,11/08/2022,1086357,1701,8,90.5,3,לא פעיל,15/11/2022
C1052,גל מזרחי,61,נקבה,כפר סבא,ייעוץ השקעות,26/03/2020,698450,4733,2,95.4,5,פעיל,
C1053,ניר רביב,53,זכר,ראשון לציון,תכנון פיננסי,20/10/2021,770211,498,3,91.1,5,לא פעיל,23/06/2022
C1054,מיכל אברהם,40,נקבה,חיפה,ביטוח חיים,14/01/2020,535164,3052,15,29.4,8,פעיל,
C1055,מיכל שפירא,41,נקבה,גבעתיים,פנסיה,18/02/2022,778269,1534,8,79.7,7,לא פעיל,05/09/2022
C1056,רונית רביב,32,נקבה,אשדוד,חיסכון ארוך טווח,09/07/2024,1081802,2880,14,9.6,10,פעיל,
C1057,שרה מזרחי,39,נקבה,כפר סבא,ייעוץ השקעות,27/11/2025,1222528,1678,5,46.2,7,פעיל,
C1058,תמר רוזן,52,נקבה,כפר סבא,ביטוח רכב,12/08/2019,487599,1812,3,82.6,3,לא פעיל,25/10/2020
C1059,תומר מזרחי,45,זכר,ראשון לציון,ייעוץ מס,28/07/2019,499357,3923,0,63.8,7,פעיל,
C1060,רחל פרידמן,58,נקבה,פתח תקווה,ביטוח רכב,25/08/2024,1104724,254,4,89.2,1,לא פעיל,04/02/2026
C1061,יצחק בן דוד,60,זכר,תל אביב,תכנון פיננסי,27/04/2019,94331,2633,3,62.9,6,לא פעיל,20/03/2020
C1062,מורן שגיא,55,נקבה,באר שבע,ביטוח רכב,13/03/2023,1085984,1693,4,83.2,4,לא פעיל,12/09/2024
C1063,שרה בן דוד,71,נקבה,ראשון לציון,ביטוח רכב,15/03/2025,1289604,2893,10,53.9,9,פעיל,
C1064,יעל פרידמן,69,נקבה,באר שבע,תכנון פיננסי,02/07/2020,679778,2319,12,38.3,6,פעיל,
C1065,רחל ביטון,57,נקבה,רעננה,ייעוץ מס,28/02/2025,1244927,4229,14,3.4,7,פעיל,
C1066,אבי שגיא,41,זכר,פתח תקווה,תכנון פיננסי,28/02/2024,646573,2628,12,91.7,1,לא פעיל,04/10/2025
C1067,אייל בוחבוט,65,זכר,כפר סבא,חיסכון ארוך טווח,03/12/2020,923868,3778,3,43.7,4,פעיל,
C1068,יוסי דהן,28,זכר,ראשון לציון,ייעוץ מס,05/07/2021,889133,1457,5,18,10,פעיל,
C1069,ליאור רוזן,34,זכר,באר שבע,ביטוח רכב,15/05/2024,782392,1756,14,86.7,5,פעיל,
C1070,אבי רביב,47,זכר,רעננה,חיסכון ארוך טווח,23/07/2024,1058909,1361,9,20.7,7,פעיל,
C1071,רונית בן דוד,26,נקבה,הוד השרון,תכנון פיננסי,19/01/2021,896106,5699,1,87.6,5,פעיל,
C1072,דנה סגל,47,נקבה,באר שבע,פנסיה,22/05/2023,832232,5169,4,61.1,7,פעיל,
C1073,רחל רוזן,48,נקבה,רמת גן,ביטוח בריאות,11/05/2019,367567,3633,6,14.4,7,פעיל,
C1074,שירה אברהם,41,נקבה,מודיעין,ביטוח רכב,24/05/2025,1499370,3780,3,46,9,פעיל,
C1075,הדר מזרחי,50,נקבה,תל אביב,חיסכון ארוך טווח,15/02/2023,987536,2484,8,56.9,7,פעיל,
C1076,נועה שפירא,55,נקבה,תל אביב,ייעוץ מס,21/04/2023,1006746,530,14,87.5,3,לא פעיל,28/06/2023
C1077,גל פרץ,31,נקבה,באר שבע,ביטוח בריאות,12/08/2022,861752,5603,13,57.2,7,פעיל,
C1078,נועה שגיא,64,נקבה,נתניה,חיסכון ארוך טווח,12/12/2019,532349,1178,7,82.4,6,פעיל,
C1079,רחל ברק,42,נקבה,באר שבע,ביטוח חיים,03/08/2025,1669604,2356,0,6.8,10,פעיל,
C1080,דני מזרחי,60,זכר,באר שבע,פנסיה,11/04/2025,1485234,2414,0,28.1,10,פעיל,
C1081,משה כהן,33,זכר,תל אביב,ייעוץ מס,19/04/2025,1632198,763,8,6.9,9,פעיל,
C1082,תומר מור,53,זכר,גבעתיים,ייעוץ מס,04/10/2023,893251,2506,1,70.4,7,פעיל,
C1083,יוסי שגיא,50,זכר,נתניה,ביטוח חיים,15/12/2022,1097220,754,10,59.2,4,לא פעיל,22/10/2023
C1084,עדי סגל,58,נקבה,ראשון לציון,ביטוח רכב,14/10/2023,1214214,871,3,82.2,3,פעיל,
C1085,עידו רביב,39,זכר,נתניה,ייעוץ מס,13/08/2025,1696622,2941,10,42.1,5,פעיל,
C1086,ליאת שגיא,29,נקבה,ירושלים,ביטוח חיים,04/07/2019,430976,5183,4,54.3,4,לא פעיל,06/12/2019
C1087,הדר ברזילי,71,נקבה,תל אביב,חיסכון ארוך טווח,12/05/2023,977940,730,6,16.5,7,פעיל,
C1088,איתי עוז,48,זכר,ירושלים,חיסכון ארוך טווח,26/04/2023,939725,3358,0,59.2,4,לא פעיל,29/02/2024
C1089,יעל אלון,25,נקבה,חיפה,ביטוח בריאות,13/11/2023,1227488,279,0,10.6,7,פעיל,
C1090,מורן רביב,46,נקבה,חיפה,ייעוץ מס,11/12/2021,770494,6421,2,85,5,לא פעיל,03/04/2022
C1091,שני ברזילי,56,נקבה,רעננה,ביטוח רכב,07/05/2022,684784,4143,11,42.4,9,פעיל,
C1092,רונית לוי,39,נקבה,נתניה,ייעוץ השקעות,10/04/2019,832974,1627,8,29.2,9,פעיל,
C1093,ניר עוז,70,זכר,באר שבע,ייעוץ מס,28/07/2019,911829,1810,0,45.2,8,פעיל,
C1094,מורן רוזן,50,נקבה,רמת גן,תכנון פיננסי,13/02/2021,923827,365,5,77.3,2,פעיל,
C1095,עידו פרץ,40,זכר,נתניה,תכנון פיננסי,13/02/2023,948853,3621,10,22.8,6,פעיל,
C1096,משה מור,57,זכר,באר שבע,ייעוץ מס,27/12/2021,628998,4835,7,11.7,9,פעיל,
C1097,יצחק שגיא,54,זכר,גבעתיים,ביטוח רכב,21/10/2024,1497159,5473,10,83.2,5,פעיל,
C1098,גדי ברק,55,זכר,אשדוד,חיסכון ארוך טווח,19/05/2025,940179,344,2,31.2,7,פעיל,
C1099,אבי סגל,63,זכר,הרצליה,תכנון פיננסי,18/10/2022,1113006,5502,1,44.3,7,פעיל,
C1100,גיא סגל,55,זכר,הרצליה,ביטוח בריאות,04/08/2019,702249,6473,10,94.3,5,לא פעיל,24/11/2020
C1101,עומר עזרא,48,זכר,מודיעין,חיסכון ארוך טווח,25/07/2022,1257277,2306,1,76.2,6,פעיל,
C1102,ליאור סלומון,60,זכר,כפר סבא,תכנון פיננסי,24/05/2021,1013471,5451,4,33.3,7,פעיל,
C1103,ליאת סגל,70,נקבה,ירושלים,חיסכון ארוך טווח,21/07/2023,1251392,3395,4,65,5,פעיל,
C1104,עידו מור,48,זכר,תל אביב,ייעוץ מס,07/03/2021,1141698,2946,15,20,9,פעיל,
C1105,עמית צדיק,64,זכר,חיפה,תכנון פיננסי,06/03/2020,695762,5521,5,69.8,5,לא פעיל,13/04/2021
C1106,תומר סגל,43,זכר,גבעתיים,ביטוח רכב,08/09/2020,1021103,2723,15,87,4,לא פעיל,02/01/2022
C1107,רונית ברק,57,נקבה,הרצליה,תכנון פיננסי,26/04/2020,518202,1865,8,6.9,10,פעיל,
C1108,נועה מור,32,נקבה,ראשון לציון,ביטוח חיים,09/03/2025,1018108,3687,4,80.1,7,פעיל,
C1109,שרה ברזילי,28,נקבה,נתניה,ייעוץ מס,03/07/2020,874156,1399,10,89.5,5,פעיל,
C1110,ליאת ביטון,27,נקבה,ראשון לציון,ביטוח רכב,25/03/2024,971057,3682,0,87.2,5,לא פעיל,07/01/2026
C1111,נועה בן דוד,40,נקבה,ראשון לציון,ביטוח חיים,14/04/2019,461020,4700,14,7.9,9,פעיל,
C1112,שרה מור,61,נקבה,באר שבע,ביטוח בריאות,01/07/2021,1278487,2756,13,19.6,7,פעיל,
C1113,ניר שגיא,27,זכר,כפר סבא,תכנון פיננסי,24/05/2021,538296,174,2,34.4,6,פעיל,
C1114,גיא ביטון,27,זכר,פתח תקווה,ייעוץ מס,06/11/2025,897823,5978,14,94.2,2,לא פעיל,20/01/2026
C1115,רחל בן דוד,37,נקבה,תל אביב,פנסיה,10/06/2019,369226,2481,15,25.8,8,פעיל,
C1116,עומר אלון,28,זכר,הוד השרון,ייעוץ מס,26/02/2021,984564,1899,12,71.9,6,פעיל,
C1117,גל אלון,58,נקבה,ראשון לציון,ביטוח חיים,03/07/2024,1450124,2675,5,53.3,5,לא פעיל,22/10/2024
C1118,עומר קדוש,53,זכר,רעננה,תכנון פיננסי,15/12/2020,709121,1843,11,59.8,4,פעיל,
C1119,אבי ברק,48,זכר,הרצליה,ביטוח בריאות,28/03/2019,451398,4017,14,5.3,10,לא פעיל,15/02/2021
C1120,הדר ברק,61,נקבה,תל אביב,ביטוח בריאות,12/08/2024,1362924,1935,2,55.9,4,פעיל,
C1121,יוסי הרשקוביץ,72,זכר,חיפה,ביטוח רכב,18/07/2023,510680,530,8,68.2,5,לא פעיל,04/05/2025
C1122,טל חזן,32,זכר,חיפה,ביטוח חיים,23/03/2022,1103859,3925,10,64.8,5,לא פעיל,23/02/2023
C1123,יצחק אלון,57,זכר,באר שבע,ביטוח חיים,08/03/2020,614525,4238,11,54.1,4,לא פעיל,23/10/2021
C1124,אבי מזרחי,44,זכר,נתניה,ביטוח רכב,25/07/2023,896146,3153,2,13.8,8,פעיל,
C1125,ליאת עוז,65,נקבה,רעננה,ביטוח בריאות,14/03/2025,1082704,4122,1,80.2,5,פעיל,
C1126,תמר אברהם,45,נקבה,מודיעין,פנסיה,10/09/2021,486638,2255,6,61.7,5,לא פעיל,09/04/2023
C1127,יצחק רוזן,62,זכר,חיפה,ביטוח בריאות,24/10/2024,1604056,5466,1,79.6,4,לא פעיל,16/12/2024
C1128,אורלי רוזן,51,נקבה,רעננה,ייעוץ השקעות,18/11/2022,1482974,1923,9,47.4,7,פעיל,
C1129,יוסי אברהם,53,זכר,נתניה,ביטוח רכב,11/04/2022,1000987,1892,10,71,3,פעיל,
C1130,ליאת אלון,57,נקבה,הרצליה,ביטוח חיים,15/04/2021,886505,553,7,15.2,10,פעיל,
C1131,דנה אברהם,45,נקבה,מודיעין,ייעוץ מס,16/03/2020,885400,2711,9,48.8,7,לא פעיל,22/05/2021
C1132,דנה פרידמן,62,נקבה,פתח תקווה,ייעוץ השקעות,16/05/2019,276245,4752,15,28.9,8,פעיל,
C1133,בועז מלכה,48,זכר,תל אביב,תכנון פיננסי,18/10/2019,211906,956,9,8.9,9,פעיל,
C1134,נועה ביטון,31,נקבה,נתניה,ייעוץ מס,18/06/2025,1336625,2666,6,58.6,5,לא פעיל,16/01/2026
C1135,גל מור,54,נקבה,חיפה,ביטוח בריאות,11/10/2021,489498,851,9,57.8,6,פעיל,
C1136,רונית שגיא,26,נקבה,פתח תקווה,ייעוץ מס,14/02/2024,1765572,2450,0,58.1,5,פעיל,
C1137,יוסי רוזן,55,זכר,חיפה,תכנון פיננסי,08/11/2020,1123939,315,3,19.9,10,פעיל,
C1138,ליאת ברזילי,69,נקבה,באר שבע,תכנון פיננסי,16/10/2023,1384604,6666,1,68.3,3,פעיל,
C1139,עדי דהן,36,נקבה,אשדוד,ייעוץ מס,22/06/2023,950853,6013,8,59.3,5,לא פעיל,30/03/2024
C1140,רונית שפירא,44,נקבה,גבעתיים,חיסכון ארוך טווח,23/04/2024,708836,3770,15,34.8,10,פעיל,
C1141,ניר ברק,47,זכר,גבעתיים,ביטוח בריאות,10/01/2021,775203,1914,14,63.7,4,פעיל,
C1142,נדב רביב,42,זכר,מודיעין,חיסכון ארוך טווח,20/02/2020,829403,4427,7,6.8,10,פעיל,
C1143,עידו דהן,70,זכר,אשדוד,ביטוח חיים,01/03/2024,1316218,4736,5,40.2,6,פעיל,
C1144,עידו עזרא,43,זכר,פתח תקווה,חיסכון ארוך טווח,25/01/2024,1226461,702,7,52.3,5,פעיל,
C1145,עידו אברהם,27,זכר,הוד השרון,תכנון פיננסי,06/08/2025,1325836,6298,9,84.4,1,לא פעיל,28/01/2026
C1146,גיא בן דוד,54,זכר,כפר סבא,ביטוח רכב,15/09/2020,932282,982,3,33.1,7,פעיל,
C1147,מאור לרנר,61,זכר,כפר סבא,פנסיה,28/10/2020,429628,5128,13,50.4,4,לא פעיל,04/03/2021
C1148,שלמה שגיא,45,זכר,מודיעין,פנסיה,13/05/2019,392842,1272,8,91.7,3,לא פעיל,11/04/2021
C1149,דוד סגל,67,זכר,ירושלים,ביטוח רכב,13/03/2021,1047615,3733,9,66.9,7,פעיל,
C1150,הדר סגל,39,נקבה,באר שבע,ביטוח בריאות,15/03/2022,1307926,6418,11,41.1,5,פעיל,
C1151,רון סגל,30,זכר,הרצליה,ביטוח רכב,12/12/2023,617960,802,3,7.8,8,פעיל,
C1152,שלמה אברהם,45,זכר,הוד השרון,ביטוח רכב,07/11/2019,245831,4271,2,86.5,3,לא פעיל,04/02/2021
C1153,רחל עוז,54,נקבה,כפר סבא,חיסכון ארוך טווח,13/01/2024,1146837,2013,6,56.4,6,לא פעיל,29/01/2025
C1154,יוסי מזרחי,55,זכר,תל אביב,חיסכון ארוך טווח,25/03/2022,646645,1101,13,37.2,8,פעיל,
C1155,עדי מזרחי,68,נקבה,כפר סבא,ביטוח בריאות,04/06/2024,1368608,1688,12,51.7,5,פעיל,
C1156,דוד כהן,44,זכר,אשדוד,תכנון פיננסי,27/07/2023,1689140,926,11,16.6,10,פעיל,
C1157,עידו סגל,26,זכר,באר שבע,פנסיה,20/02/2019,465559,281,1,25,10,לא פעיל,13/06/2020
C1158,דני לוי,33,זכר,הרצליה,חיסכון ארוך טווח,19/12/2020,594573,1964,10,24.3,10,פעיל,
C1159,רונית גולדשטיין,28,נקבה,הרצליה,ביטוח בריאות,14/11/2024,1525704,3023,11,90.5,1,פעיל,
C1160,מורן ברזילי,34,נקבה,ראשון לציון,תכנון פיננסי,16/09/2020,616252,1970,9,82.6,5,לא פעיל,12/12/2021
C1161,ליאת ברק,40,נקבה,ראשון לציון,פנסיה,03/11/2021,1074325,4661,11,10.7,10,פעיל,
C1162,יוסי גולדשטיין,49,זכר,כפר סבא,ייעוץ השקעות,07/02/2025,1577800,5707,6,47.1,7,פעיל,
C1163,דני פרידמן,72,זכר,ירושלים,ביטוח רכב,20/12/2020,741650,2462,7,53.9,5,פעיל,
C1164,שני עוז,66,נקבה,פתח תקווה,חיסכון ארוך טווח,17/06/2021,718980,4737,3,77.5,4,לא פעיל,10/02/2022
C1165,יעל ברזילי,27,נקבה,רעננה,פנסיה,01/03/2024,1192241,1587,13,29.7,5,פעיל,
C1166,ניר רוזן,40,זכר,אשדוד,ייעוץ מס,24/08/2021,936560,4492,14,17.8,9,פעיל,
C1167,תמר עוז,66,נקבה,תל אביב,ייעוץ השקעות,27/02/2025,1242603,1662,0,40.8,6,פעיל,
C1168,אבי ביטון,25,זכר,באר שבע,ביטוח רכב,20/01/2021,1475130,4162,15,64,7,פעיל,
C1169,אלון עוז,43,זכר,תל אביב,תכנון פיננסי,04/03/2025,1028808,2546,4,24.7,8,פעיל,
C1170,הדר גולדשטיין,50,נקבה,ירושלים,ייעוץ מס,19/08/2022,1385247,2223,7,30.2,8,פעיל,
C1171,יצחק הרשקוביץ,49,זכר,נתניה,ביטוח רכב,01/11/2019,676898,2307,15,81.5,4,לא פעיל,04/11/2020
C1172,יוסי שפירא,38,זכר,מודיעין,ביטוח רכב,03/01/2021,699629,5609,1,18.9,8,פעיל,
C1173,ניר מזרחי,44,זכר,חיפה,פנסיה,22/07/2023,889219,5060,12,73,4,לא פעיל,09/11/2023
C1174,עמית סגל,52,זכר,באר שבע,ביטוח חיים,25/10/2021,652671,5168,12,93.1,2,פעיל,
C1175,קובי כץ,47,זכר,הרצליה,תכנון פיננסי,22/03/2022,1312262,3813,2,74.6,6,לא פעיל,29/12/2022
C1176,אבי גולדשטיין,34,זכר,נתניה,ביטוח בריאות,11/07/2024,1251567,1064,0,90.6,1,לא פעיל,07/11/2024
C1177,אמיר מזרחי,60,זכר,הרצליה,תכנון פיננסי,03/01/2019,418988,2109,10,83.2,5,לא פעיל,31/03/2020
C1178,מיכל עוז,40,נקבה,רעננה,ביטוח בריאות,06/07/2024,1251482,616,8,48.4,8,פעיל,
C1179,מיכל אלון,41,נקבה,באר שבע,ביטוח רכב,07/10/2023,1150536,1334,9,2.6,10,פעיל,
C1180,יעל רביב,46,נקבה,נתניה,ביטוח בריאות,20/06/2021,651476,2416,10,18.7,7,פעיל,
C1181,דנה דהן,49,נקבה,ראשון לציון,תכנון פיננסי,19/02/2021,587691,1302,5,66.1,6,פעיל,
C1182,אורלי רביב,43,נקבה,הוד השרון,ביטוח חיים,22/07/2025,1580134,1555,9,24.7,7,פעיל,
C1183,סהר מלכה,55,זכר,רעננה,תכנון פיננסי,28/09/2023,1018087,3383,1,76.3,2,לא פעיל,29/04/2025
C1184,משה שפירא,67,זכר,כפר סבא,ייעוץ מס,20/11/2020,302651,384,12,92.9,2,לא פעיל,30/03/2021
C1185,דנה מור,72,נקבה,הרצליה,פנסיה,13/06/2022,611014,3387,4,34.4,10,לא פעיל,28/10/2022
C1186,מורן מזרחי,32,נקבה,הוד השרון,ביטוח בריאות,11/05/2021,547952,3369,15,34.7,9,פעיל,
C1187,עומר לוי,70,זכר,ירושלים,ייעוץ השקעות,21/06/2025,1512375,846,5,89.4,5,פעיל,
C1188,יצחק דהן,60,זכר,נתניה,ביטוח רכב,21/07/2020,963601,681,13,39.2,7,פעיל,
C1189,עדי כהן,70,נקבה,באר שבע,פנסיה,26/12/2021,687325,2042,3,77.2,1,לא פעיל,03/02/2023
C1190,יוסי רוט,32,זכר,ראשון לציון,ביטוח רכב,11/11/2023,1041037,2819,12,57.2,4,לא פעיל,10/10/2024
C1191,שלמה דהן,32,זכר,באר שבע,חיסכון ארוך טווח,12/03/2019,369127,2142,12,41.3,9,פעיל,
C1192,מורן אברהם,56,נקבה,כפר סבא,ביטוח בריאות,16/03/2023,535872,931,10,81.1,2,פעיל,
C1193,ליאת פרידמן,49,נקבה,הרצליה,ביטוח רכב,16/11/2022,1218850,2885,14,47.9,4,לא פעיל,16/01/2023
C1194,קובי דוידוביץ,42,זכר,באר שבע,חיסכון ארוך טווח,19/08/2020,661666,5332,15,53.7,6,פעיל,
C1195,רחל רביב,59,נקבה,באר שבע,תכנון פיננסי,27/12/2019,453088,4623,9,84.2,4,לא פעיל,21/10/2020
C1196,מיכל רביב,32,נקבה,גבעתיים,פנסיה,19/12/2020,669848,3068,13,17.6,9,פעיל,
C1197,נדב הלוי,42,זכר,רעננה,ביטוח בריאות,10/12/2021,668821,1785,3,14.7,9,פעיל,
C1198,רחל גולדשטיין,66,נקבה,חיפה,ביטוח בריאות,23/03/2020,502358,2528,12,48,5,פעיל,
C1199,מיכל מזרחי,50,נקבה,הרצליה,חיסכון ארוך טווח,15/06/2024,1271804,2127,0,83.7,3,פעיל,
C1200,רחל שגיא,58,נקבה,נתניה,ביטוח בריאות,13/09/2022,746318,231,5,35.2,1,פעיל,
C1201,עדי שגיא,30,נקבה,פתח תקווה,חיסכון ארוך טווח,07/09/2023,1234726,5618,10,52.4,6,פעיל,
C1202,ניר פרידמן,44,זכר,ראשון לציון,ביטוח חיים,06/03/2022,946526,3558,4,64.3,4,פעיל,
C1203,אלון ברזילי,45,זכר,מודיעין,ביטוח רכב,15/08/2023,1350613,4349,5,15.9,10,פעיל,
C1204,דור אדלר,39,זכר,תל אביב,חיסכון ארוך טווח,05/07/2019,737958,640,4,95.3,2,לא פעיל,24/05/2020
C1205,רון פרץ,49,זכר,נתניה,ייעוץ השקעות,27/10/2022,958499,6209,1,74.3,5,לא פעיל,30/01/2023
C1206,איתי דהן,65,זכר,באר שבע,תכנון פיננסי,15/06/2020,528985,4990,1,41.7,6,פעיל,
C1207,אלון רביב,70,זכר,כפר סבא,ביטוח בריאות,13/05/2020,894360,1718,14,49.9,7,פעיל,
C1208,הדר רוזן,26,נקבה,רמת גן,חיסכון ארוך טווח,08/09/2022,1205650,1292,5,80.5,9,לא פעיל,18/04/2024
C1209,גיא דהן,34,זכר,אשדוד,תכנון פיננסי,18/08/2025,1595566,6729,2,84.2,3,לא פעיל,15/01/2027
C1210,שרה אלון,56,נקבה,באר שבע,תכנון פיננסי,07/04/2024,1340843,232,8,86,3,פעיל,
C1211,דני אברהם,31,זכר,פתח תקווה,פנסיה,29/07/2022,877421,6785,6,40.3,10,פעיל,
C1212,שירה כהן,39,נקבה,באר שבע,ייעוץ מס,13/09/2020,831673,5785,9,89.5,9,פעיל,
C1213,יוסי לוי,67,זכר,באר שבע,חיסכון ארוך טווח,26/03/2021,716874,3200,5,20.2,2,פעיל,
C1214,מאור חורב,42,זכר,מודיעין,ייעוץ השקעות,10/03/2020,838455,4535,10,34.3,10,לא פעיל,13/07/2021
